HORA,JANELA_ATIVA (O que o usuário vê),PROCESSO_DA_JANELA,PID,MEMORIA_RAM(MB),SITE_DETECTADO (Via Título/Rede),PORTAS_ABERTAS (LISTEN),CONEXOES_EXTERNAS (IPs)
13:22:52,HeadCARGO HEADSOFT TESTES - [CRM],Desktop.exe,23376,6.9,-,,191.239.243.77:9322
13:22:53,HeadCARGO HEADSOFT TESTES - [CRM],Desktop.exe,23376,24.8,-,,191.239.243.77:9322
13:22:54,[Área de Trabalho ou Transição],explorer.exe,8984,93.6,-,,
13:22:55,[Área de Trabalho ou Transição],explorer.exe,8984,94.5,-,,
13:22:56,[Área de Trabalho ou Transição],explorer.exe,8984,101.6,-,,
13:22:57,[Área de Trabalho ou Transição],explorer.exe,8984,101.7,-,,
13:22:58,[Área de Trabalho ou Transição],explorer.exe,8984,102.2,-,,
13:22:59,HeadSoft Service Desk - Google Chrome,chrome.exe,18500,68.7,-,,
13:23:00,Google Gemini - Google Chrome,chrome.exe,18500,98.4,-,,
13:23:01,Google Gemini - Google Chrome,chrome.exe,18500,99.7,-,,
13:23:02,import psutil.py - Scripts - Visual Studio Code,Code.exe,15104,23.8,-,,
